2024-02-27T23:23:24.911Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:24:19.175Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:24:21.704Z [my-delivery-api]  error: POST => /order ReferenceError: lla is not defined
2024-02-27T23:30:45.063Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:31:45.922Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:32:45.971Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:33:05.701Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:33:30.028Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:33:49.194Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:33:55.716Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:34:58.910Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:35:00.756Z [my-delivery-api]  error: PUT => /order Campos  obrigatórios não preenchidos
2024-02-27T23:35:18.222Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:35:21.642Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:36:56.243Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:37:04.635Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:37:24.532Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:37:26.321Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:38:19.017Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:38:22.766Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:39:02.691Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:39:30.623Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:39:33.644Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:39:36.268Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:40:24.404Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:40:27.826Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:40:32.086Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:40:32.986Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:40:49.736Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:40:51.574Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:40:56.686Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:41:17.015Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:41:22.367Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:41:30.234Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:41:34.183Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:41:39.958Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:41:41.103Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:42:24.514Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:42:26.476Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:42:28.105Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
2024-02-27T23:42:42.077Z [my-delivery-api]  info: Server is running on port 3000
2024-02-27T23:42:43.516Z [my-delivery-api]  info: PUT /order - {"id":501,"name":"Alex dos pedidos","value":50,"product":"pizza especial de carne vegana premium plus","delivered":true}
